ID nest,Date,Day,Class,TA,SA,NM,NH
1,2004-03-12,0,2,2.3,2.3,1,5
1,2004-04-28,47,2,6.64,6.64,1,10
1,2004-05-27,76,2,7.4,7.4,1,12
2,2004-03-12,0,4,12.32,11.19,2,15
2,2004-04-28,47,4,22.86,20.45,2,29
2,2004-05-27,76,4,23.24,23.24,1,18
3,2004-03-12,0,1,0.14,0.14,1,1
3,2004-04-28,47,1,0.48,0.37,2,2
3,2004-05-27,76,1,0.83,0.59,2,2
3,2004-07-08,118,1,0.83,0.83,1,3
3,2004-08-19,160,1,0.94,0.94,1,1
3,2004-09-22,193,1,0.94,0.94,1,3
3,2004-10-26,227,1,0.94,0.94,1,1
3,2004-11-30,262,1,0.94,0.94,1,0
3,2005-01-13,306,1,0.94,0.94,1,0
3,2005-03-03,355,1,11.93,11.93,1,3
3,2005-04-13,396,1,12.81,12.81,1,5
3,2005-06-06,450,1,29.36,29.36,1,22
4,2004-03-12,0,2,1.12,1.12,1,2
4,2004-04-28,47,2,3.18,3.18,1,3
4,2004-05-27,76,2,1.56,1.56,1,1
4,2004-07-08,118,2,1.31,1.31,2,2
4,2004-08-19,160,2,2.88,2.88,1,3
4,2004-09-22,193,2,2.88,2.88,1,3
4,2004-10-26,227,2,2.88,2.88,1,2
4,2004-11-30,262,2,2.88,2.88,1,3
4,2005-01-13,306,2,2.88,2.88,1,0
4,2005-03-03,355,2,17.05,17.05,1,5
4,2005-04-13,396,2,3.7,3.7,1,7
4,2005-06-06,450,2,3.7,3.7,1,6
5,2004-03-12,0,3,4.42,4.42,1,3
5,2004-04-28,47,3,4.42,4.42,1,1
5,2004-05-27,76,3,4.42,4.42,1,0
6,2004-03-12,0,5,40.95,38.07,2,20
6,2004-04-28,47,5,64.85,54.93,2,47
6,2004-05-27,76,5,64.85,54.93,2,25
7,2004-03-12,0,4,5.24,5.24,2,8
7,2004-04-28,47,4,24.79,14.89,2,8
7,2004-05-27,76,4,33.12,24.07,2,7
8,2004-03-12,0,4,9.69,9.69,1,3
8,2004-04-28,47,4,13.49,13.49,1,2
8,2004-05-27,76,4,15.68,15.68,1,4
9,2004-03-12,0,4,23.61,23.61,1,1
9,2004-04-28,47,4,23.61,23.61,1,2
9,2004-05-27,76,4,23.61,23.61,1,0
10,2004-03-12,0,3,4.14,4.14,1,4
10,2004-04-28,47,3,6.3,4.17,2,5
10,2004-05-27,76,3,13.94,9.22,2,6
10,2004-07-08,118,3,13.3,13.3,1,10
10,2004-08-19,160,3,11.73,11.31,3,11
10,2004-09-22,193,3,15.1,15.1,3,16
10,2004-10-26,227,3,45.15,45.15,1,20
10,2004-11-30,262,3,45.15,45.15,1,36
10,2005-01-13,306,3,45.15,45.15,1,27
10,2005-03-03,355,3,70.53,70.53,1,142
10,2005-04-13,396,3,109.26,109.26,1,69
10,2005-06-06,450,3,149.2,149.2,1,89
11,2004-03-12,0,4,9.97,9.97,1,3
11,2004-04-28,47,4,11.16,11.16,1,2
11,2004-05-27,76,4,11.16,11.16,1,2
12,2004-03-12,0,3,5.93,3.8,2,3
12,2004-04-28,47,3,9.5,8.37,2,22
12,2004-05-27,76,3,16.23,15.3,2,17
13,2004-03-12,0,4,19.11,17.45,4,18
13,2004-04-28,47,4,29.15,19.94,2,27
13,2004-05-27,76,4,34.35,26.05,2,1
14,2004-03-12,0,2,2.55,2.55,1,1
14,2004-04-28,47,2,2.55,2.55,1,1
14,2004-05-27,76,2,2.55,2.55,1,0
15,2004-03-12,0,3,7.88,5.02,3,13
15,2004-04-28,47,3,13.99,13.99,1,21
15,2004-05-27,76,3,20.03,20.03,1,23
15,2004-07-08,118,3,18.06,18.06,3,20
15,2004-08-19,160,3,21.93,21.96,2,32
15,2004-09-22,193,3,23.68,23.68,2,24
15,2004-10-26,227,3,40.06,40.06,1,30
15,2004-11-30,262,3,87.24,87.24,1,62
15,2005-01-13,306,3,87.24,87.24,1,58
15,2005-03-03,355,3,77.25,77.25,1,109
15,2005-04-13,396,3,82.5,82.5,1,84
15,2005-06-06,450,3,82.5,82.5,1,112
16,2004-03-12,0,3,5.4,3.29,2,3
16,2004-04-28,47,3,5.36,5.36,1,3
16,2004-05-27,76,3,6.32,6.32,1,6
17,2004-03-12,0,2,1.58,1.58,1,1
17,2004-04-28,47,2,2.11,2.11,1,6
17,2004-05-27,76,2,4.1,4.1,1,4
17,2004-07-08,118,2,16.84,15.51,3,16
17,2004-08-19,160,2,14.61,14.61,2,16
17,2004-09-22,193,2,18.89,18.89,2,18
17,2004-10-26,227,2,30.1,30.1,2,25
17,2004-11-30,262,2,47.39,47.39,2,10
17,2005-01-13,306,2,47.39,47.39,2,36
17,2005-03-03,355,2,66.88,66.88,1,118
17,2005-04-13,396,2,80.8,80.8,1,56
17,2005-06-06,450,2,80.8,80.8,1,99
18,2004-03-12,0,1,0.26,0.26,1,1
18,2004-04-28,47,1,0.63,0.63,1,1
18,2004-05-27,76,1,0.78,0.78,1,0
20,2004-03-12,0,4,21.05,21.05,1,28
20,2004-04-28,47,4,33.03,33.03,1,39
20,2004-05-27,76,4,46.9,46.9,1,83
20,2004-07-08,118,4,46.9,46.9,1,83
20,2004-08-19,160,4,71.75,71.75,1,86
20,2004-09-22,193,4,72.51,72.51,1,50
20,2004-10-26,227,4,71.75,71.75,1,63
20,2004-11-30,262,4,84.26,84.26,1,97
20,2005-01-13,306,4,112.2,112.2,1,52
20,2005-03-03,355,4,156.84,156.84,1,153
20,2005-04-13,396,4,165.07,165.07,1,144
20,2005-06-06,450,4,185.13,185.13,1,170
21,2004-03-12,0,1,0.97,0.97,1,3
21,2004-04-28,47,1,3.16,3.16,1,5
21,2004-05-27,76,1,4.3,4.3,1,3
22,2004-03-12,0,3,4.05,3.1,2,1
22,2004-04-28,47,3,4.45,3.19,2,1
22,2004-05-27,76,3,5.04,3.78,1,1
23,2004-03-12,0,3,0.19,0.19,1,2
23,2004-04-28,47,3,0.5,0.5,1,1
23,2004-05-27,76,3,0.55,0.55,1,0
24,2004-03-12,0,3,4.19,2.57,2,5
24,2004-04-28,47,3,5.03,5.03,1,9
24,2004-05-27,76,3,5.03,5.03,1,0
25,2004-03-12,0,2,1.1,1.1,1,1
25,2004-04-28,47,2,2.82,2.82,1,1
25,2004-05-27,76,2,3.52,3.52,1,1
26,2004-03-12,0,1,0.89,0.89,1,2
26,2004-04-28,47,1,6.4,6.4,1,5
26,2004-05-27,76,1,7.47,7.47,1,2
27,2004-03-12,0,5,31.98,16.19,3,29
27,2004-04-28,47,5,36.14,26.21,2,54
27,2004-05-27,76,5,39.42,28.87,2,72
27,2004-07-08,118,5,35.75,35.75,2,75
27,2004-08-19,160,5,40.6,40.6,1,76
27,2004-09-22,193,5,40.6,40.6,1,44
27,2004-10-26,227,5,40.6,40.6,1,4
27,2004-11-30,262,5,49.27,49.27,1,9
27,2005-01-13,306,5,49.27,49.27,1,0
27,2005-03-03,355,5,51.18,51.18,1,76
27,2005-04-13,396,5,51.18,51.18,1,43
27,2005-06-06,450,5,51.18,51.18,1,116
28,2004-03-12,0,2,1.02,1.02,1,1
28,2004-04-28,47,2,1.02,1.02,1,3
28,2004-05-27,76,2,1.02,1.02,1,1
28,2004-07-08,118,2,0.91,0.91,2,2
28,2004-08-19,160,2,0.89,0.89,2,2
28,2004-09-22,193,2,0.89,0.89,2,2
28,2004-10-26,227,2,0.89,0.89,2,2
28,2004-11-30,262,2,0.91,0.91,1,1
28,2005-01-13,306,2,0.91,0.91,1,0
29,2004-03-12,0,2,1.64,1.64,1,2
29,2004-04-28,47,2,1.64,1.64,1,1
29,2004-05-27,76,2,2.17,2.17,1,0
30,2004-03-12,0,1,0.77,0.77,1,3
30,2004-04-28,47,1,0.88,0.88,1,3
30,2004-05-27,76,1,1.18,1.18,1,2
30,2004-07-08,118,1,0.95,0.95,2,2
30,2004-08-19,160,1,1.29,1.29,2,2
30,2004-09-22,193,1,1.29,1.29,2,3
30,2004-10-26,227,1,1.29,1.29,2,3
30,2004-11-30,262,1,2.42,2.42,1,1
30,2005-01-13,306,1,3.22,3.22,1,1
30,2005-03-03,355,1,3.22,3.22,1,4
31,2004-03-12,0,5,46.5,46.5,1,40
31,2004-04-28,47,5,49.38,49.38,1,39
31,2004-05-27,76,5,49.38,49.38,1,39
31,2004-07-08,118,5,57.68,57.68,1,40
31,2004-08-19,160,5,72.94,72.94,1,34
31,2004-09-22,193,5,72.94,72.94,1,37
31,2004-10-26,227,5,72.94,72.94,1,34
31,2004-11-30,262,5,135.14,135.14,1,43
31,2005-01-13,306,5,135.14,135.14,1,39
31,2005-03-03,355,5,185.65,185.65,1,192
31,2005-04-13,396,5,192.07,192.07,1,147
31,2005-06-06,450,5,177.08,177.08,1,93
32,2004-03-12,0,1,0.32,0.32,1,2
32,2004-04-28,47,1,0.6,0.6,1,1
32,2004-05-27,76,1,1.46,1.46,1,1
33,2004-03-12,0,3,3.22,3.22,1,10
33,2004-04-28,47,3,5.73,5.73,1,8
33,2004-05-27,76,3,15.51,15.51,1,17
33,2004-07-08,118,3,15.97,15.97,1,19
33,2004-08-19,160,3,20.41,20.41,1,16
33,2004-09-22,193,3,34.98,30.59,4,27
33,2004-10-26,227,3,30.36,30.36,7,25
33,2004-11-30,262,3,49.78,49.78,5,17
33,2005-01-13,306,3,72.68,72.68,1,44
33,2005-03-03,355,3,75.94,75.94,1,100
33,2005-04-13,396,3,75.94,75.94,1,57
33,2005-06-06,450,3,75.94,75.94,1,70
34,2004-03-12,0,2,1.52,1.52,1,1
34,2004-04-28,47,2,2.34,2.34,1,2
34,2004-05-27,76,2,13.43,13.43,1,3
34,2004-07-08,118,2,17.47,17.47,1,10
34,2004-08-19,160,2,15.15,15.15,1,11
34,2004-09-22,193,2,15.15,15.15,1,5
34,2004-10-26,227,2,15.15,15.15,1,7
34,2004-11-30,262,2,18.51,18.51,1,6
34,2005-01-13,306,2,28.21,28.21,1,11
34,2005-03-03,355,2,28.21,28.21,1,83
34,2005-04-13,396,2,34.56,34.56,1,61
34,2005-06-06,450,2,39.18,39.18,1,91
35,2004-03-12,0,1,0.39,0.39,1,1
35,2004-04-28,47,1,0.96,0.76,2,2
35,2004-05-27,76,1,1.56,1.11,2,1
36,2004-03-12,0,3,7.38,5.26,2,8
36,2004-04-28,47,3,17.68,13.92,2,8
36,2004-05-27,76,3,23.3,17.18,2,6
37,2004-03-12,0,1,0.23,0.23,1,1
37,2004-04-28,47,1,0.23,0.23,1,1
37,2004-05-27,76,1,0.23,0.23,1,0
37,2004-07-08,118,1,0.52,0.52,1,2
37,2004-08-19,160,1,0.927,0.927,1,0
38,2004-03-12,0,5,26.61,26.61,1,43
38,2004-04-28,47,5,34.4,34.4,1,63
38,2004-05-27,76,5,34.4,34.4,1,61
38,2004-07-08,118,5,27.84,27.84,1,66
38,2004-08-19,160,5,35.23,35.23,1,98
38,2004-09-22,193,5,38.81,38.81,1,58
38,2004-10-26,227,5,38.81,38.81,1,34
38,2004-11-30,262,5,73.63,73.63,1,56
38,2005-01-13,306,5,87.56,87.56,1,78
38,2005-03-03,355,5,124.35,124.35,1,212
38,2005-04-13,396,5,124.8,124.8,1,166
38,2005-06-06,450,5,124.8,124.8,1,150
39,2004-03-12,0,3,3.23,2.84,2,3
39,2004-04-28,47,3,4,4,1,6
39,2004-05-27,76,3,5.18,5.18,1,6
40,2004-03-12,0,1,0.77,0.77,1,3
40,2004-04-28,47,1,0.77,0.77,1,2
40,2004-05-27,76,1,0.77,0.77,1,0
41,2004-03-12,0,1,0.07,0.07,1,1
41,2004-04-28,47,1,0.26,0.26,1,2
41,2004-05-27,76,1,0.25,0.25,1,1
42,2004-03-12,0,1,0.29,0.29,1,1
42,2004-04-28,47,1,0.48,0.48,1,1
42,2004-05-27,76,1,0.54,0.54,1,0
43,2004-03-12,0,3,5.95,3.55,2,1
43,2004-04-28,47,3,5.95,3.55,2,1
43,2004-05-27,76,3,5.95,3.55,2,0
44,2004-03-12,0,2,2.39,1.62,2,4
44,2004-04-28,47,2,2.45,1.85,2,5
44,2004-05-27,76,2,4.63,4.63,1,9
45,2004-03-12,0,3,7.37,2.5,2,8
45,2004-04-28,47,3,6.93,6.12,2,4
45,2004-05-27,76,3,12.31,9.38,2,4
46,2004-03-12,0,1,0.76,0.41,2,2
46,2004-04-28,47,1,0.9,0.71,2,1
46,2004-05-27,76,1,0.9,0.71,2,0
46,2004-07-08,118,1,2.89,2.89,2,4
46,2004-08-19,160,1,3.93,3.93,2,4
46,2004-09-22,193,1,3.93,3.93,2,5
46,2004-10-26,227,1,3.93,3.93,2,3
46,2004-11-30,262,1,3.93,3.93,2,0
46,2005-01-13,306,1,3.93,3.93,2,0
47,2004-03-12,0,3,5.04,2.37,2,4
47,2004-04-28,47,3,9.6,7.89,2,13
47,2004-05-27,76,3,13.41,13.41,1,10
47,2004-07-08,118,3,24.62,19.62,2,14
47,2004-08-19,160,3,30.12,30.12,1,17
47,2004-09-22,193,3,32.29,32.29,2,16
47,2004-10-26,227,3,33.96,33.96,2,36
47,2004-11-30,262,3,33.96,33.96,2,0
47,2005-01-13,306,3,33.96,33.96,2,0
48,2004-03-12,0,2,1.12,0.84,2,1
48,2004-04-28,47,2,1.27,0.95,2,1
48,2004-05-27,76,2,1.27,0.95,2,0
49,2004-03-12,0,2,2.8,1.94,2,4
49,2004-04-28,47,2,4.25,4.25,1,2
49,2004-05-27,76,2,5.61,5.61,1,6
49,2004-07-08,118,2,7.13,7.13,1,8
49,2004-08-19,160,2,7.13,7.13,1,8
49,2004-09-22,193,2,7.13,7.13,1,6
49,2004-10-26,227,2,10.58,10.58,1,13
49,2004-11-30,262,2,27.69,27.69,1,10
49,2005-01-13,306,2,52.27,52.27,1,32
49,2005-03-03,355,2,60.26,60.26,1,54
49,2005-04-13,396,2,58.98,58.98,1,75
49,2005-06-06,450,2,59.9,59.9,1,87
50,2004-03-12,0,2,2.56,1.38,2,3
50,2004-04-28,47,2,2.18,2.18,1,3
50,2004-05-27,76,2,6.57,6.57,1,4
50,2004-07-08,118,2,7.35,7.35,1,3
50,2004-08-19,160,2,7.35,7.35,1,4
50,2004-09-22,193,2,7.35,7.35,1,3
50,2004-10-26,227,2,7.35,7.35,1,2
50,2004-11-30,262,2,7.35,7.35,1,0
50,2005-01-13,306,2,7.35,7.35,1,1
50,2005-03-03,355,2,7.35,7.35,1,12
50,2005-04-13,396,2,7.35,7.35,1,15
50,2005-06-06,450,2,18.43,18.43,1,15
51,2004-03-12,0,1,0.9,0.7,2,2
51,2004-04-28,47,1,0.98,0.77,2,1
51,2004-05-27,76,1,0.98,0.77,2,1
51,2004-07-08,118,1,3.8,3.8,2,3
51,2004-08-19,160,1,3.8,3.8,2,1
51,2004-09-22,193,1,4.58,4.58,3,3
51,2004-10-26,227,1,4.58,4.58,3,2
51,2004-11-30,262,1,4.58,4.58,3,0
51,2005-01-13,306,1,3.88,3.88,2,1
51,2005-03-03,355,1,3.88,3.88,2,1
52,2004-03-12,0,2,1.65,1,2,3
52,2004-04-28,47,2,2.43,1.64,2,3
52,2004-05-27,76,2,2.96,2.09,2,3
52,2004-07-08,118,2,4.08,3.85,2,3
52,2004-08-19,160,2,4.08,3.85,2,2
52,2004-09-22,193,2,4.08,3.85,2,2
52,2004-10-26,227,2,3,3,1,1
52,2004-11-30,262,2,3.1,3.1,1,0
52,2005-01-13,306,2,3.1,3.1,1,2
52,2005-03-03,355,2,4.1,4.1,1,4
52,2005-04-13,396,2,3.93,3.93,1,1
53,2004-03-12,0,3,3,3,1,5
53,2004-04-28,47,3,5.79,5.79,1,8
53,2004-05-27,76,3,5.98,5.98,1,9
53,2004-07-08,118,3,8.42,3.1,5,18
53,2004-08-19,160,3,14.41,14.41,4,8
53,2004-09-22,193,3,14.08,14.08,4,7
53,2004-10-26,227,3,14.08,14.08,4,9
53,2004-11-30,262,3,14.08,14.08,4,7
53,2005-01-13,306,3,35.24,35.24,1,9
53,2005-03-03,355,3,39.18,39.18,1,17
53,2005-04-13,396,3,39.18,39.18,1,14
53,2005-06-06,450,3,40,40,1,45
54,2004-03-12,0,3,3.97,3.29,3,5
54,2004-04-28,47,3,4.94,4.94,1,9
54,2004-05-27,76,3,5.47,5.47,1,13
54,2004-07-08,118,3,6,6,1,8
54,2004-08-19,160,3,9.36,9.36,1,14
54,2004-09-22,193,3,9.36,9.36,1,10
54,2004-10-26,227,3,11.55,11.55,1,14
54,2004-11-30,262,3,14.28,14.28,1,7
54,2005-01-13,306,3,14.28,14.28,1,34
54,2005-03-03,355,3,69.49,69.49,1,93
54,2005-04-13,396,3,71.75,71.75,1,85
54,2005-06-06,450,3,72.2,72.2,1,102
55,2004-03-12,0,2,1.64,1.28,2,2
55,2004-04-28,47,2,1.71,1.35,2,1
55,2004-05-27,76,2,2.54,2.54,1,5
55,2004-07-08,118,2,3.89,3.89,3,5
55,2004-08-19,160,2,5.44,5.44,4,4
55,2004-09-22,193,2,6.06,6.06,4,2
55,2004-11-30,262,2,14.08,14.08,1,1
56,2004-03-12,0,2,1.16,1.16,1,2
56,2004-04-28,47,2,1.88,1.88,1,6
56,2004-05-27,76,2,3.28,3.28,1,1
57,2004-03-12,0,1,0.3,0.3,1,1
57,2004-04-28,47,1,0.3,0.3,1,1
57,2004-05-27,76,1,0.47,0.47,1,1
57,2004-07-08,118,1,0.71,0.71,1,1
57,2004-08-19,160,1,0.71,0.71,1,1
57,2004-09-22,193,1,0.71,0.71,1,1
57,2004-10-26,227,1,0.71,0.71,1,1
57,2004-11-30,262,1,0.71,0.71,1,0
57,2005-01-13,306,1,0.71,0.71,1,1
57,2005-03-03,355,1,0.63,0.63,1,1
58,2004-03-12,0,1,0.21,0.1,2,2
58,2004-04-28,47,1,0.21,0.1,2,2
58,2004-05-27,76,1,0.21,0.1,2,1
58,2004-07-08,118,1,0.21,0.1,2,1
58,2004-08-19,160,1,0.21,0.1,2,1
58,2004-09-22,193,1,0.21,0.1,2,2
58,2004-10-26,227,1,0.21,0.1,2,2
59,2004-03-12,0,2,1.67,1.67,1,1
59,2004-04-28,47,2,1.67,1.67,1,1
59,2004-05-27,76,2,2.2,2.2,1,1
59,2004-07-08,118,2,2.2,2.2,1,1
60,2004-03-12,0,3,8.24,8.24,1,17
60,2004-04-28,47,3,14.85,14.85,1,10
60,2004-05-27,76,3,16.44,16.44,1,0
60,2004-07-08,118,3,16.44,16.44,1,0
61,2004-03-12,0,3,6.3,6.3,1,3
61,2004-04-28,47,3,39.62,39.62,1,20
61,2004-05-27,76,3,40.8,40.8,1,0
61,2004-07-08,118,3,40.8,40.8,1,0
62,2004-03-12,0,2,1.97,1.97,1,5
62,2004-04-28,47,2,5.02,5.02,1,12
62,2004-05-27,76,2,14.85,6.22,2,11
62,2004-07-08,118,2,12.12,12.12,2,18
62,2004-08-19,160,2,14.1,14.1,4,22
62,2004-09-22,193,2,21.11,21.11,4,23
62,2004-10-26,227,2,21.11,21.11,4,23
62,2004-11-30,262,2,106.16,106.16,1,46
62,2005-01-13,306,2,146.52,146.52,1,48
62,2005-03-03,355,2,231.61,231.61,1,103
62,2005-04-13,396,2,237.21,237.21,1,160
62,2005-06-06,450,2,290.4,290.4,1,125
63,2004-03-12,0,1,0.53,0.35,2,1
63,2004-04-28,47,1,0.8,0.65,2,2
63,2004-05-27,76,1,3.6,3.6,1,1
63,2004-07-08,118,1,3.74,3.74,1,1
63,2004-08-19,160,1,3.74,3.74,1,1
63,2004-09-22,193,1,3.86,3.86,1,1
63,2004-10-26,227,1,3.86,3.86,1,0
63,2004-11-30,262,1,6.09,6.09,1,1
63,2005-01-13,306,1,6.09,6.09,1,0
63,2005-03-03,355,1,16.71,16.71,1,28
63,2005-04-13,396,1,63.34,63.34,1,11
63,2005-06-06,450,1,63.34,63.34,1,5
64,2004-03-12,0,2,1.85,1.25,2,1
64,2004-04-28,47,2,2.7,1.79,2,1
64,2004-05-27,76,2,14.36,6.89,2,3
64,2004-07-08,118,2,8.48,8.48,4,5
64,2004-08-19,160,2,9.8,9.8,4,5
64,2004-09-22,193,2,9.8,9.8,4,8
64,2004-10-26,227,2,9.8,9.8,4,7
64,2004-11-30,262,2,24.97,24.97,1,15
64,2005-01-13,306,2,24.97,24.97,1,25
64,2005-03-03,355,2,25.99,25.99,1,29
64,2005-04-13,396,2,85.63,85.63,1,57
64,2005-06-06,450,2,85.63,85.63,1,38
65,2004-03-12,0,5,32.2,32.2,1,1
65,2004-04-28,47,5,32.2,32.2,1,0
65,2004-05-27,76,5,75.37,55.12,2,4
66,2004-03-12,0,3,7.72,5.66,2,4
66,2004-04-28,47,3,14.24,12.06,2,10
66,2004-05-27,76,3,19,17.15,2,20
66,2004-07-08,118,3,14.72,14,5,19
66,2004-08-19,160,3,18.72,18.72,8,19
66,2004-09-22,193,3,26.32,26.32,5,26
66,2004-10-26,227,3,34.33,34.33,3,33
66,2004-11-30,262,3,49.29,49.29,2,52
66,2005-01-13,306,3,77.53,77.53,1,58
66,2005-03-03,355,3,84.79,84.79,1,126
66,2005-04-13,396,3,150.66,150.66,1,141
66,2005-06-06,450,3,150.66,150.66,1,170
67,2004-03-12,0,1,0.2,0.2,1,1
67,2004-04-28,47,1,0.25,0.25,1,0
67,2004-07-08,118,1,0.41,0.41,1,1
67,2004-08-19,160,1,0.41,0.41,1,1
67,2004-09-22,193,1,0.41,0.41,1,1
67,2004-10-26,227,1,0.41,0.41,1,1
67,2004-11-30,262,1,0.41,0.41,1,1
67,2005-01-13,306,1,0.41,0.41,1,0
67,2005-03-03,355,1,0.53,0.53,1,2
68,2004-03-12,0,3,4.71,4.71,1,5
